Batch,Accuracy,Precision,Recall,F1
3,99.24337957124843,82.47952945196285,82.67194202296942,82.56312904964794
4,73.91304347826086,68.58288770053477,69.3172642118863,63.531463867598326
5,98.47715736040608,82.49407042510491,81.87313089487002,82.16588479746375
6,91.47826086956522,84.57914568015372,92.46210363938368,83.91181423461741
7,74.89620813728204,79.99869242699104,76.04638233774469,75.28412990294494
8,84.35374149659864,94.85304659498209,77.49287749287748,81.07522829660134
9,80.42553191489363,86.63485056110956,81.02784893874004,76.97022497518576
10,57.55555555555556,62.152757009199135,57.55555555555556,56.0094593543457
