Batch,Acc_Before,Acc_After
3,21.2890625,94.53125
4,74.21875,71.09375
5,96.35416666666667,98.4375
6,59.82142857142857,91.83035714285714
7,74.0234375,75.66964285714286
8,75.390625,75.390625
9,75.89285714285714,80.13392857142857
10,57.533482142857146,57.533482142857146
